一乾二淨	yi gan er jing
河涸海乾	he he hai qian
河落海乾	he luo hai qian
洋乾漆	xiang gan qi
浪蕩乾坤	lang dang gan kun
海乾河盡	hai qian he jin
涸乾	he qian
淚乾腸斷	lei qian chang duan
濕肉伴乾柴	shi rou pan gan zhai
烈火乾柴	lie huo qian chai
烘乾	hong qian
烘乾機	hong qian ji
焙乾	bei gan
煨乾就濕	wei gan jiu shi
煨乾避濕	wei qian bi shi
甕盡杯乾	weng jin bei gan
瘦小枯乾	shou xiao ku gan
白乾	bai gan
眼球乾燥症	yan qiu qian zao zheng
筍乾	sun gan
糕乾	gao gan
老乾	lao gan
肉乾	rou qian
葡萄乾	pu tao gan
蘇打餅乾	su da bing qian
蘿蔔乾	luo bo qian
蟶乾	cheng qian
豆乾	dou gan
豆腐乾	dou fu qian
豬肉乾	zhu rou gan
陰乾	yin qian
陵土未乾	ling tu wei qian
霉乾菜	mei qian cai
顛乾倒坤	dian qian dao kun
顛倒乾坤	dian dao qian kun
風乾	feng gan
餅乾	bing gan
香乾	xiang gan
馬乾	ma qian
黃乾黑瘦	huang gan hei shou
龍眼乾	long yan gan
