一乾二淨	yi gan er jing
乾落得	gan luo de
乾薑	gan jiang
乾薪	gan xin
乾虔	qian qian
乾號	qian hao
乾衣機	gan yi ji
乾裂	gan lie
乾親	qian qin
乾親家	gan qing jia
乾象	qian xiang
乾貨	gan huo
乾貨船	gan huo chuan
乾造	gan zao
乾逼	gan bi
乾道	qian dao
乾酪	gan lao
乾量	gan liang
乾阿嬭	gan a nai
乾陵	qian ling
乾隆	qian long
乾電池	gan dian chi
乾霍亂	gan huo luan
乾顙	gan sang
乾颱	gan tai
乾飯	gan fan
乾館	gan guan
乾餱	qian hou
乾餱以愆	qian hou yi qian
乾餾	gan liu
乾魚與貓作枕頭	qian yu yu mao zuo zhen tou
乾麪	qian mian
偎乾就濕	wei gan jiu shi
全彩乾式印表機	quan cai gan shi yin biao ji
口乾舌燥	kou gan she zao
口燥脣乾	kou zao chun gan
口血未乾	kou xie wei gan
唾面自乾	tuo mian zi qian
喫乾醋	chi gan cu
喫幾碗乾飯	chi ji wan gan fan
壺裏乾坤	hu li qian kun
外強中乾	wai qiang zhong qian
大目乾連冥間救母變文	da mu qian lian ming jian jiu mu bian wen
天乾物燥	tian qian wu zao
夾心餅乾	jia xin bing gan
弄乾坤	nong qian kun
打乾噦	da gan hui
打淨撈乾	da jing lao gan
扭轉乾坤	niu zhuan qian kun
抔土未乾	pou tu wei gan
揩乾	kai gan
搭乾鋪	da gan pu
擰乾	ning gan
旋乾轉坤	xuan qian zhuan kun
旋轉乾坤	xuan zhuan qian kun
晒乾	shai gan
晾乾	liang gan
朝乾夕惕	zhao qian xi ti
果乾	guo gan
枯乾	ku gan
桑乾河	sang gan he
桑乾盆地	sang gan pen di
沒乾沒淨	mei gan mei jing
沒乾淨	mei gan jing
河涸海乾	he he hai gan
河落海乾	he luo hai gan
洋乾漆	yang gan qi
浪蕩乾坤	lang dang qian kun
海乾河盡	hai gan he jin
涸乾	he gan
淚乾腸斷	lei gan chang duan
濕肉伴乾柴	shi rou pan gan chai
烈火乾柴	lie huo gan chai
烘乾	hong gan
烘乾機	hong gan ji
焙乾	bei gan
煨乾就濕	wei gan jiu shi
煨乾避濕	wei gan bi shi
甕盡杯乾	weng jin bei gan
瘦小枯乾	shou xiao ku gan
白乾	bai gan
眼球乾燥症	yan qiu gan zao zheng
筍乾	sun gan
糕乾	gao gan
老乾	lao gan
肉乾	rou qian
葡萄乾	pu tao gan
蘇打餅乾	su da bing gan
蘿蔔乾	luo bo gan
蟶乾	cheng qian
豆乾	dou gan
豆腐乾	dou fu gan
豬肉乾	zhu rou gan
陰乾	yin gan
陵土未乾	ling tu wei gan
霉乾菜	mei gan cai
顛乾倒坤	dian qian dao kun
顛倒乾坤	dian dao qian kun
風乾	feng gan
餅乾	bing gan
香乾	xiang gan
馬乾	ma gan
黃乾黑瘦	huang gan hei shou
龍眼乾	long yan gan
