一乾二淨	yi gan er jing
乾着急	gan zhao ji
乾瞪眼	gan deng yan
乾禮	qian li
乾稿	gan gao
乾笑	qian xiao
乾等	gan deng
乾篾片	gan mie pian
乾粉	gan fen
乾糧	gan liang
乾紅	gan hong
乾結	gan jie
乾絲	gan si
乾綱	qian gang
乾罷	gan ba
乾耗	gan hao
乾股	gan gu
乾肥	gan fei
乾脆	qian cui
乾脆爽快	gan cui shuang kuai
乾花	gan hua
乾芻	gan chu
乾苔	qian tai
乾茨臘	gan ci la
乾茨臘	qian ci la
乾茶錢	gan cha qian
乾草	gan cao
乾菜	gan cai
乾落	gan luo
乾落得	gan luo de
乾薑	gan jiang
乾薪	gan xin
乾虔	gan qian
乾號	gan hao
乾衣機	gan yi ji
乾裂	qian lie
乾親	gan qin
乾親家	gan qin gu
乾象	qian xiang
乾貨	gan huo
乾貨船	qian huo chuan
乾造	gan zao
乾逼	gan bi
乾道	gan dao
乾酪	gan lao
乾量	gan liang
乾阿嬭	gan a nai
乾陵	gan ling
乾隆	qian long
乾電池	gan dian chi
乾霍亂	gan huo luan
乾顙	qian sang
乾颱	gan tai
乾飯	gan fan
乾館	gan guan
乾餱	qian hou
乾餱以愆	qian hou yi qian
乾餾	gan liu
乾魚與貓作枕頭	gan yu yu mao zuo zhen tou
乾麪	gan mian
偎乾就濕	wei gan jiu shi
全彩乾式印表機	quan cai gan shi yin biao ji
口乾舌燥	kou gan she zao
口燥脣乾	kou zao chun gan
口血未乾	kou xue wei qian
唾面自乾	tuo mian zi gan
喫乾醋	chi gan cu
喫幾碗乾飯	chi ji wan gan fan
壺裏乾坤	hu li qian kun
外強中乾	wai qiang zhong gan
大目乾連冥間救母變文	da mu qian lian ming jian jiu mu bian wen
天乾物燥	tian gan wu zao
夾心餅乾	jia xin bing gan
弄乾坤	nong qian kun
打乾噦	da gan yue
打淨撈乾	da jing lao gan
扭轉乾坤	niu zhuan qian kun
抔土未乾	pou tu wei gan
揩乾	kai gan
搭乾鋪	ta gan pu
擰乾	ning gan
旋乾轉坤	xuan qian zhuan kun
旋轉乾坤	xuan zhuan qian kun
晒乾	shai gan
晾乾	liang gan
朝乾夕惕	zhao qian xi ti
果乾	guo gan
枯乾	ku gan
桑乾河	sang qian he
桑乾盆地	sang qian pen di
沒乾沒淨	mei gan mei jing
沒乾淨	mei gan jing
河涸海乾	he he hai gan
河落海乾	he luo hai gan
洋乾漆	yang gan qi
浪蕩乾坤	lang tang qian kun
海乾河盡	hai gan he jin
涸乾	he gan
淚乾腸斷	lei gan chang duan
濕肉伴乾柴	shi rou ban gan chai
烈火乾柴	lie huo gan chai
烘乾	hong gan
烘乾機	hong gan ji
焙乾	bei gan
煨乾就濕	wei gan jiu shi
煨乾避濕	wei gan bi shi
甕盡杯乾	weng jin bei gan
瘦小枯乾	shou xiao ku gan
白乾	bai gan
眼球乾燥症	yan qiu gan zao zheng
筍乾	sun gan
糕乾	gao gan
老乾	lao gan
肉乾	rou qian
葡萄乾	pu tao gan
蘇打餅乾	su da bing gan
蘿蔔乾	luo bo gan
蟶乾	cheng gan
豆乾	dou gan
豆腐乾	dou fu gan
豬肉乾	zhu rou gan
陰乾	yin gan
陵土未乾	ling tu wei gan
霉乾菜	mei gan cai
顛乾倒坤	dian qian dao kun
顛倒乾坤	dian dao qian kun
風乾	feng gan
餅乾	bing gan
香乾	xiang gan
馬乾	ma gan
黃乾黑瘦	huang gan hei shou
龍眼乾	long yan gan
