一彈指	yi tan zhi
彈棋	tan qi
彈殼	dan ke
彈治	tan zhi
彈無虛發	dan wu xu fa
彈片	dan pian
彈珠	dan zhu
彈珠檯	tan zhu tai
彈琴	dan qin
彈琵琶	tan pi pa
彈痕分析	dan hen fen xi
彈盡援絕	dan jin yuan jue
彈着點	dan zhuo dian
彈空說嘴	tan kong shuo zui
彈章	tan zhang
彈簧	tan huang
彈簧刀	dan huang dao
彈簧牀	tan huang chuang
彈簧秤	tan huang cheng
彈簧鋼	tan huang gang
彈簧門	tan huang men
彈絲品竹	tan si pin zhu
彈腿	tan tui
彈藥	dan yao
彈觔估兩	tan jin gu liang
彈詞	tan ci
彈跳	tan tiao
彈道	dan dao
彈道導彈	dan dao dao dan
彈道飛彈	dan dao fei dan
彈針	tan zhen
彈鋏	tan jia
彈鋏無魚	tan jia wu yu
彈鋼琴	tan gang qin
彈雨	dan yu
彈頭	dan tou
彈駁	tan bo
彈黃調	tan huang diao
愛國者飛彈	ai guo zhe fei dan
所得彈性	suo de tan xing
手榴彈	shou liu dan
打彈	da tan
打彈子	da tan zi
打彈珠	da dan zhu
投彈	tou dan
抨彈	peng tan
挖地彈	wa di dan
揚州彈詞	yang zhou tan ci
搊彈詞	chou tan ci
擲彈筒	zhi dan tong
斑鳩跌彈	ban jiu die tan
新沐者必彈冠	xin mu zhe bi tan guan
明珠彈雀	ming zhu tan que
星點彈塗	xing dian tan tu
曳光彈	ye guang dan
核彈	he dan
核彈頭	he dan tou
械彈	xie dan
榴彈	liu dan
榴彈炮	liu dan pao
榴霰彈	liu xian dan
槍彈	qiang dan
槍林彈雨	qiang lin dan yu
氣爆彈	qi bao dan
氫彈	qing dan
沒包彈	mei bao dan
沒彈剝	mei dan bo
油氣彈	you qi dan
洲際飛彈	zhou ji fei dan
流彈	liu dan
深水炸彈	shen shui zha dan
潛水炸彈	qian shui zha dan
濯纓彈冠	zhuo ying tan guan
火箭彈	huo jian dan
炮彈	pao dan
炸彈	zha dan
煙幕彈	yan mu dan
照明彈	zhao ming dan
燒夷彈	shao yi dan
王貢彈冠	wang gong tan guan
珠淚偷彈	zhu lei tou tan
班鳩跌彈	ban jiu die dan
瓦斯彈	wa si dan
男兒有淚不輕彈	nan er you lei bu qing tan
硝煙彈雨	xiao yan dan yu
空包彈	kong bao dan
穿甲彈	chuan jia dan
糖衣炮彈	tang yi pao dan
糾彈	jiu tan
紙彈	zhi dan
義勇兵飛彈	yi yong bing fei dan
老調重彈	lao diao chong tan
聯彈	lian tan
肉彈	rou dan
舊調重彈	jiu diao chong tan
色彈	se dan
荷槍實彈	he qiang shi dan
葡萄炸彈	pu tao zha dan
蘇州彈詞	su zhou tan ci
蘇州評彈	su zhou ping tan
蠟彈	la dan
褒彈	bao tan
見彈求鴞	xian dan qiu xiao
見彈而求鴞炙	jian dan er qiu xiao zhi
評彈	ping dan
貢禹彈冠	gong yu tan guan
跌了彈的斑鳩	die le dan de ban jiu
跳彈	tiao tan
達姆達姆彈	da mu da mu dan
郵寄炸彈	you ji zha dan
鈽彈	bu dan
銀彈	yin dan
鎗彈	qiang dan
鎗榴彈	qiang liu dan
間繞式彈簧	jian rao shi tan huang
防彈衣	fang tan yi
防空飛彈	fang kong fei dan
隨珠彈雀	sui zhu tan que
震撼彈	zhen han dan
霰彈	xian dan
響尾蛇飛彈	xiang wei she fei dan
飛彈	fei dan
飛彈快艇	fei dan kuai ting
飛毛腿飛彈	fei mao tui fei dan
飛魚飛彈	fei yu fei dan
飲彈	yin dan
馮諼彈鋏	feng xuan tan jia
高爆彈	gao bao dan
高空彈跳	gao kong tan tiao
鳴彈	ming dan
鷹式飛彈	ying shi fei dan
黃連樹下彈琴	huang lian shu xia tan qin
