一乾二淨	yi gan er jing
河落海乾	he luo hai gan
洋乾漆	yang gan qi
浪蕩乾坤	lang dang qian kun
海乾河盡	hai gan he jin
涸乾	he gan
淚乾腸斷	lei gan chang duan
濕肉伴乾柴	shi rou ban gan zai
烈火乾柴	lie huo gan chai
烘乾	hong gan
烘乾	hong qian
烘乾機	hong gan ji
焙乾	bei gan
煨乾就濕	wei gan jiu shi
煨乾避濕	wei gan bi shi
甕盡杯乾	weng jin bei gan
瘦小枯乾	shou xiao ku gan
白乾	bo qian
眼球乾燥症	yan qiu gan zao zheng
筍乾	sun gan
糕乾	gao gan
老乾	lao gan
肉乾	rou gan
葡萄乾	pu tao gan
蘇打餅乾	su da bing qian
蘿蔔乾	luo bo gan
蟶乾	cheng gan
豆乾	dou qian
豆腐乾	dou fu gan
豬肉乾	zhu rou qian
陰乾	yin gan
陰乾	yin qian
陵土未乾	ling tu wei gan
霉乾菜	mei gan cai
顛乾倒坤	dian qian dao kun
顛倒乾坤	dian dao qian kun
風乾	feng gan
餅乾	bing gan
香乾	xiang gan
馬乾	ma gan
黃乾黑瘦	huang gan hei shou
龍眼乾	long yan gan
