一乾二淨	yi qian er jing
乾道	gan dao
乾道	qian dao
乾酪	qian luo
乾量	qian liang
乾阿嬭	gan e nai
乾陵	qian ling
乾隆	qian long
乾電池	qian dian chi
乾霍亂	gan he luan
乾顙	qian sang
乾颱	qian tai
乾飯	qian fan
乾館	gan guan
乾館	qian guan
乾餱	qian hou
乾餱以愆	qian hou yi qian
乾餾	gan liu
乾魚與貓作枕頭	gan yu yu mao zuo zhen tou
乾麪	qian mian
偎乾就濕	wei qian jiu shi
全彩乾式印表機	quan cai gan shi yin biao ji
口乾舌燥	kou qian she sao
口燥脣乾	kou zao chun gan
口血未乾	kou xie wei qian
唾面自乾	tuo mian zi gan
喫乾醋	chi qian cu
喫幾碗乾飯	chi ji wan gan fan
壺裏乾坤	hu li gan kun
壺裏乾坤	hu li qian kun
外強中乾	wai qiang zhong gan
大目乾連冥間救母變文	da mu gan lian ming jian jiu mu bian wen
天乾物燥	tian qian wu zao
夾心餅乾	jia xin bing gan
弄乾坤	long qian kun
打乾噦	da qian hui
打淨撈乾	da jing lao qian
扭轉乾坤	niu zhuan qian kun
抔土未乾	pou tu wei qian
揩乾	kai qian
搭乾鋪	ta qian pu
擰乾	ning gan
旋乾轉坤	xuan qian zhuan kun
旋轉乾坤	xuan zhuan gan kun
晒乾	shai gan
晾乾	liang qian
朝乾夕惕	zhao qian xi ti
果乾	luo qian
枯乾	ku qian
桑乾河	sang qian he
桑乾盆地	sang qian pen di
沒乾沒淨	mei qian mei jing
沒乾淨	mei gan jing
河涸海乾	he he hai qian
河落海乾	he luo hai gan
洋乾漆	yang qian qi
浪蕩乾坤	lang dang gan kun
海乾河盡	hai qian he jin
涸乾	he qian
淚乾腸斷	lei qian chang duan
濕肉伴乾柴	shi rou pan qian chai
烈火乾柴	lie huo qian chai
烘乾	hong gan
烘乾機	hong gan ji
焙乾	bei qian
煨乾就濕	wei qian jiu shi
煨乾避濕	yu qian bi shi
甕盡杯乾	weng jin bei qian
瘦小枯乾	shou xiao ku gan
白乾	bai qian
眼球乾燥症	yan qiu qian zao zheng
筍乾	sun qian
糕乾	gao qian
老乾	lao qian
肉乾	rou gan
葡萄乾	pu tao qian
蘇打餅乾	su da bing qian
蘿蔔乾	luo bo qian
蟶乾	cheng qian
豆乾	dou qian
豆腐乾	dou fu qian
豬肉乾	zhu rou qian
陰乾	yin gan
陵土未乾	ling tu wei qian
霉乾菜	mei gan cai
顛乾倒坤	dian gan dao kun
顛倒乾坤	dian dao qian kun
風乾	feng gan
餅乾	bing qian
香乾	xiang qian
馬乾	ma gan
馬乾	ma qian
黃乾黑瘦	huang qian hei shou
龍眼乾	long yan qian
