一彈指	yi dan zhi
珠淚偷彈	zhu lei tou tan
班鳩跌彈	ban jiu die dan
瓦斯彈	wa si tan
男兒有淚不輕彈	nan er you lei bu qing tan
硝煙彈雨	xiao yan dan yu
空包彈	kong bao dan
穿甲彈	chuan jia dan
糖衣炮彈	tang yi pao dan
糾彈	jiu tan
紙彈	zhi dan
紙彈	zhi tan
義勇兵飛彈	yi yong bing fei dan
老調重彈	lao diao chong tan
聯彈	lian dan
肉彈	rou dan
舊調重彈	jiu tiáo chong dàn
色彈	se dan
色彈	shai dan
荷槍實彈	he qiang shi dan
葡萄炸彈	pu tao zha dan
蘇州彈詞	su zhou tan ci
蘇州評彈	su zhou ping tan
蠟彈	la dan
褒彈	bao tan
見彈求鴞	jiàn dan qiu xiao
見彈而求鴞炙	jian dan er qiu xiao zhi
評彈	ping tan
貢禹彈冠	gong yu tan guan
跌了彈的斑鳩	die le dan de ban jiu
跳彈	tiao tan
達姆達姆彈	da mu da mu tan
郵寄炸彈	you ji zha dan
鈽彈	bu dan
銀彈	yin dan
鎗彈	qiang dan
鎗榴彈	qiang liu dan
間繞式彈簧	jian rao shi dan huang
防彈衣	fang dan yi
防空飛彈	fang kong fei dan
隨珠彈雀	sui zhu dan que
震撼彈	zhen han dan
霰彈	xian dan
響尾蛇飛彈	xiang wei she fei dan
飛彈	fei dan
飛彈快艇	fei dan kuai ting
飛毛腿飛彈	fei mao tui fei dan
飛魚飛彈	fei yu fei dan
飲彈	yin dan
馮諼彈鋏	feng xuan dan jia
高爆彈	gao bao dan
高空彈跳	gao kong dan tiao
鳴彈	ming tan
鷹式飛彈	ying shi fei dan
黃連樹下彈琴	huang lian shu xia tan qin
